"name","base_location","base_country","base_classification","location_precision","investment_focus","stage_focus","geographic_investment_focus","linkedin_profile_url","public_contact_email","public_contact_email_source_url","primary_focus_source_url","notes","current_company_or_firm","company_website","company_source","website_type"
"Alan Waxman","San Francisco Bay Area, California, United States","United States","Diaspora / outside Africa","exact_public","Sports, Travel, Software","Private Equity, Convertible Note","Ghana, Spain, United States","https://www.linkedin.com/in/alan-waxman-b11717b","","","https://shizune.co/investors/health-care-angel-investors-africa","","","","",""
"Alex Bouaziz","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Financial Services, FinTech","Seed, Series A, Angel","United States, Mexico, Colombia","https://www.linkedin.com/in/alexbouaziz","","","https://shizune.co/investors/angel-investors-tanzania","","","https://heylink.me/klikdisinidaftar/","","public_website"
"Ali Rampurwala","","","Unresolved","unresolved","Blockchain, FinTech, Cryptocurrency","Seed, Pre-Seed","United States, Egypt, India","https://www.linkedin.com/in/alirampurwala","ali@vastlyvaluable.com","https://vastlyvaluable.com/contact/","https://shizune.co/investors/angel-investors-egypt","Public business email retained after QA","Vastly Valuable Ventures – Investing in vanguard, visionary, valiant founders!","https://vastlyvaluable.com/","Official linked site title","company_or_firm_site"
"Ali Shaaban","Cairo, Al Qahirah, Egypt","Egypt","Africa-based","exact_public","Financial Services, FinTech, Banking","Series A, Seed, Pre-Seed","Egypt, United States, Kenya","https://www.linkedin.com/in/alishaaban","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Amandine Lobelle","","","Unresolved","unresolved","Credit, FinTech, InsurTech","Seed","United States","https://www.linkedin.com/in/amandinelobelle","","","https://shizune.co/investors/angel-investors-mauritius","","","","",""
"Amit Bhatia","","","Unresolved","unresolved","Bakery, Medical, Hospital","Seed, Series A, Funding Round","India, Kenya, United States","https://in.linkedin.com/in/amit-bhatia-7b40888a","","","https://shizune.co/investors/financial-services-angel-investors-kenya","","","","",""
"Amr Awadallah","Palo Alto, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, Machine Learning","Seed, Angel, Series A","United States, Egypt, Germany","http://www.linkedin.com/in/awadallah","","","https://shizune.co/investors/angel-investors-egypt","","","https://www.awadallah.com/","","personal_site"
"Andre Pienaar","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Information Technology, Cyber Security, Delivery","Funding Round, Series F","Luxembourg, South Africa, United States","https://www.linkedin.com/in/andr%C3%A9-pienaar","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Andrea Bohmert","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","Manufacturing, Artificial Intelligence, Mobile","Series A, Angel, Funding Round","South Africa, United States","https://www.linkedin.com/in/andreaboehmert","","","https://shizune.co/investors/marketplace-angel-investors-africa","","","","",""
"Andrea Iannelli","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Beauty, Retail, Consumer","Seed","Kenya","https://www.linkedin.com/in/andreaiannelli","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Andreas von Blottnitz","Santa Barbara, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, Enterprise Software","Seed, Angel, Series A","United States, South Africa","http://www.linkedin.com/pub/andreas-von-blottnitz/1/687/3a1/en","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Andrew Bredenkamp","Zürich, Zurich, Switzerland","Switzerland","Diaspora / outside Africa","exact_public","Software, Speech Recognition, Translation Service","Seed","South Africa","https://www.linkedin.com/in/andrewbredenkamp","","","https://shizune.co/investors/artificial-intelligence-angel-investors-africa","","","","",""
"Andrew Vigneault","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Software, FinTech, Information Technology","Seed, Series A, Pre-Seed","United States, India, Mexico","https://www.linkedin.com/in/andrew-vigneault-8b98b81a","","","https://shizune.co/investors/angel-investors-algeria","","","http://comingsoon.markmonitor.com/","","company_or_firm_site"
"Anthony Rock","Brooklyn, New York, United States","United States","Diaspora / outside Africa","exact_public","Travel, Tourism, Venture Capital","Seed","Kenya","https://www.linkedin.com/in/anthony-rock-14322082","","","https://shizune.co/investors/venture-capital-angel-investors-kenya","","","","",""
"Anthony Saleh","Los Angeles, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Internet, Fashion, Enterprise Software","Seed, Series A, Series B","United States, Egypt, Spain","https://www.linkedin.com/pub/anthony-saleh/79/1a7/b23","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Arash Ferdowsi","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, Financial Services","Seed, Series A, Pre-Seed","United States, India, Brazil","http://www.linkedin.com/in/arashferdowsi","","","https://shizune.co/investors/angel-investors-nigeria","","","https://www.arash.com/","","personal_site"
"Arpan Shah","Palo Alto, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Payments, Software","Seed","Nigeria, United States","https://www.linkedin.com/in/arpanshah29","","","https://shizune.co/investors/saas-angel-investors-nigeria","","","","",""
"Ashley Lewis","Washington, District of Columbia, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Financial Services, Retail","Seed, Series A, Pre-Seed","Egypt, Togo, Kenya","https://www.linkedin.com/in/aslewis","","","https://shizune.co/investors/consumer-angel-investors-africa","","","","",""
"Ashley Thompson- MacCarthy","","","Unresolved","unresolved","Mobile, Retail, FinTech","Series A","Ghana","https://www.linkedin.com/in/ashley-thompson-maccarthy-29880261","","","https://shizune.co/investors/marketplace-angel-investors-africa","","","","",""
"Ashraf Bacheet","Cairo, Al Qahirah, Egypt","Egypt","Africa-based","exact_public","Internet, Professional Networking","Pre-Seed","Egypt","https://eg.linkedin.com/in/bacheet","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","","",""
"Ashwin Ravichandran","Accra, Greater Accra, Ghana","Ghana","Africa-based","exact_public","Education, AgTech, Health Care","Funding Round, Pre-Seed, Seed","Ghana, Nigeria, Kenya","https://www.linkedin.com/in/ashwinravi107","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Atlas Benjelloun","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Software, Cryptocurrency, Information Technology, Financial Services","Series A, Seed, Series C","United States, Morocco, United Kingdom","https://www.linkedin.com/in/atlasbenjelloun","","","https://shizune.co/investors/angel-investors-morocco","","","","",""
"Axel Peyriere","Sydney, New South Wales, Australia","Australia","Diaspora / outside Africa","exact_public","Delivery, E-Commerce, Retail","Seed, Series A","Egypt, Nepal, Myanmar","https://www.linkedin.com/in/axelpeyriere","","","https://shizune.co/investors/angel-investors-egypt","","Emerging Classifieds Ventures - Marketplaces in Emerging Markets","https://www.classifiedsventures.com/","Official linked site metadata","company_or_firm_site"
"Ayodeji Adewunmi","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Apps, Gaming, Mobile, Software","Seed, Angel","Nigeria","http://www.linkedin.com/in/ayodejiadewunmi","","","https://shizune.co/investors/angel-investors-nigeria","Public business email retained after QA","Jobberman","https://www.jobberman.com/","Official linked site metadata","company_or_firm_site"
"Babatunde Soyoye","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Apps, Sales, Fitness","Seed, Grant, Series A","United Kingdom, Kenya","https://www.linkedin.com/in/babatunde-soyoye-5b347","","","https://shizune.co/investors/transportation-angel-investors-africa","","","","",""
"Babs Ogundeyi","Yaba, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Financial Services, FinTech, Finance, Financial, Payments, Software","Seed, Pre-Seed, Funding Round","Nigeria, Zambia, Pakistan","https://www.linkedin.com/in/babsogundeyi","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Baljinder Sharma","","","Unresolved","unresolved","Retail, E-Commerce, Debt Collections","Seed, Pre-Seed","Nigeria","https://www.linkedin.com/in/baljinder-sharma","","","https://shizune.co/investors/marketplace-angel-investors-nigeria","","","","",""
"Bas Hochstenbach","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","B2C, Shopping, Software","Angel, Seed","South Africa","https://www.linkedin.com/in/bas-hochstenbach-523b1a3","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Bashar Hamood","9 investments in the past 12 months","","Unresolved","exact_public","Software, Information Technology, E-Commerce, Mobile Apps, IT, Mobile","Seed, Pre-Seed, Series A, Angel","United States, Nigeria, United Kingdom, India, United Arab Emirates","https://www.linkedin.com/in/basharrhamood","","","https://shizune.co/investors/angel-investors-nigeria","","FasterCapital","http://www.fastercapital.com/","Official linked site metadata","company_or_firm_site"
"Benjamin Chemla","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","Rental, Banking, Internet","Pre-Seed, Seed","France, Cameroon","https://www.linkedin.com/in/benjamin-chemla-48b85627","","","https://shizune.co/investors/angel-investors-cameroon","","","","",""
"Benjamin Fernandes","Stanford, California, United States","United States","Diaspora / outside Africa","exact_public","Billing, Software, Business Development","Pre-Seed","Kenya, United Kingdom","https://www.linkedin.com/in/benjaminf7","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Bill Spruill","","","Unresolved","unresolved","Facial Recognition, Identity Management, Information Technology","Series A","South Africa","https://www.linkedin.com/in/williamspruill","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Biola Alabi","Lagos Island, Lagos, Nigeria","Nigeria","Africa-based","inferred_public","Logistics, AgTech, FinTech, Internet, Blockchain","Pre-Seed, Seed","Nigeria, United States","https://www.linkedin.com/in/biola-alabi","","","https://shizune.co/investors/artificial-intelligence-angel-investors-africa","","","","",""
"Biz Stone","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, Internet","Seed, Series A, Pre-Seed","United States, United Kingdom, India","https://www.linkedin.com/in/bizstone","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Bolaji Balogun","","","Unresolved","unresolved","Apps, FinTech, Finance","Seed","Kenya, Nigeria","https://www.linkedin.com/in/bolaji-balogun-16a00467","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Brad Flora","San Francisco, California, United States · 55 investments in the past 12 months","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, SaaS, FinTech, Financial Services, IT","Pre-Seed, Seed, Series A","United States, Mexico, United Kingdom, India","http://www.linkedin.com/in/bradflora","","","https://shizune.co/investors/health-care-angel-investors-africa","","","https://bradflora.com/","","personal_site"
"Brandon Krieg","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","InsurTech, Insurance, Banking, Financial, Software, Education","Pre-Seed, Seed, Series B","Nigeria, United States","https://www.linkedin.com/in/brandonkrieg1","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Brian Corrigan","Saratoga Springs, New York, United States","United States","Diaspora / outside Africa","exact_public","Gaming, Internet, SaaS","Series A, Seed, Angel","United States, Estonia, South Africa","https://www.linkedin.com/in/briancorrigan","","","https://shizune.co/investors/enterprise-angel-investors-south-africa","","","https://www.svperfecta.com/","","company_or_firm_site"
"Brian Jacobs","San Mateo, California, United States","United States","Diaspora / outside Africa","exact_public","Software, SaaS, Enterprise Software, Information Technology","Series C, Seed, Series A","United States, Germany, Nigeria","https://www.linkedin.com/in/brianjacobsemergence","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Bunmi Akinyemiju","","","Unresolved","unresolved","Financial Services, FinTech, Payments, Other, Financial, Administrative","Seed, Angel, Pre-Seed","Nigeria, United Arab Emirates","https://www.linkedin.com/in/akinyemiju","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Calanthia Mei","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Finance","Seed, Series A","South Africa, United States","https://www.linkedin.com/in/calanthia","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Calvin Ayre","","","Unresolved","unresolved","Blockchain, Information Technology, Bitcoin","Seed, Funding Round, Series A","United States, United Kingdom, Spain","https://www.linkedin.com/in/calvinayre","","","https://shizune.co/investors/angel-investors-south-africa","","","https://calvinayre.com/announcement","","personal_site"
"Cameron Hejazi","","","Unresolved","unresolved","Financial Services","Pre-Seed","Nigeria","https://www.linkedin.com/in/chejazi","","","https://shizune.co/investors/fintech-angel-investors-nigeria","","","","",""
"Camilla Hagen Sørli","","","Unresolved","unresolved","Beauty, Retail, Consumer","Seed","Kenya","https://www.linkedin.com/in/camilla-hagen","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Caribou Honig","Richmond, Virginia, United States","United States","Diaspora / outside Africa","exact_public","InsurTech, Insurance, EdTech","Seed, Series A","Kenya, Colombia, Hong Kong","https://www.linkedin.com/in/caribou","","","https://shizune.co/investors/angel-investors-kenya","","","https://www.3rdactventures.com","","public_website"
"Casper Johansen","","","Unresolved","unresolved","Blockchain, IaaS, PaaS","Seed","Nigeria, United States","http://www.linkedin.com/in/casperbjohansen","","","https://shizune.co/investors/blockchain-angel-investors-nigeria","","Seravia","https://seravia.com/","Official linked site title","company_or_firm_site"
"Cem Garih","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Internet","Seed, Series A, Pre-Seed","United States, India, Kenya","https://www.linkedin.com/in/cemgarih","","","https://shizune.co/investors/angel-investors-ghana","","","","",""
"Charles Delingpole","London, England, United Kingdom · 2 investments in the past 12 months","United Kingdom","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Payments","Seed, Pre-Seed, Series A","United Kingdom, United States, Spain","http://www.linkedin.com/in/delingpole","","","https://shizune.co/investors/angel-investors-cameroon","","","https://delingpole.com/","","personal_site"
"Charles Neba","Us, Picardie, France","France","Diaspora / outside Africa","exact_public","E-Commerce","Pre-Seed","Cameroon","https://www.linkedin.com/in/charles-neba-0262a9103","","","https://shizune.co/investors/angel-investors-cameroon","","","","",""
"Charles-Edouard Bouee","Munich, Bayern, Germany","Germany","Diaspora / outside Africa","exact_public","AgTech, CleanTech, Financial Services","Pre-Seed, Seed, Angel","United States, France, Vietnam","https://www.linkedin.com/in/charlesedouardbouee","","","https://shizune.co/investors/angel-investors-cameroon","","","","",""
"Charley Ma","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Software, Financial Services","Seed, Series A, Pre-Seed","United States, Canada, South Africa","https://www.linkedin.com/in/charleyma","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","","","",""
"Charlotte Lawrence","","","Unresolved","unresolved","Software, Information Technology, E-Commerce","Private Equity, Seed, Series A","United Kingdom, Spain, France","https://uk.linkedin.com/in/charlotte-lawrence-6b705a22","","","https://shizune.co/investors/enterprise-angel-investors-south-africa","","","","",""
"Cheryl Heller","Pittsburgh, Pennsylvania, United States","United States","Diaspora / outside Africa","exact_public","Hardware, Telecommunications, Enterprise Software","Seed","Kenya","https://www.linkedin.com/in/cherylheller","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Chris Adelsbach","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, FinTech, Financial Services, Financial, IT","Seed, Pre-Seed, Series A","United Kingdom, United States, Ireland","https://uk.linkedin.com/in/chrisadelsbach","","","https://shizune.co/investors/angel-investors-nigeria","","Outrun Ventures","https://www.outrunventures.com/","Official linked site metadata","company_or_firm_site"
"Christian Angermayer","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Blockchain","Seed, Series A, Series B","Germany, United States, United Kingdom","https://uk.linkedin.com/pub/christian-angermayer/64/134/485","","","https://shizune.co/investors/angel-investors-mauritius","","","","",""
"Christian Faes","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Finance","Seed, Funding Round, Series A","United Kingdom, Australia, United States","http://www.linkedin.com/in/christianfaes","","","https://shizune.co/investors/angel-investors-mauritius","","","","",""
"Christian Jantzen","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, SaaS, Information Technology","Seed, Pre-Seed, Angel","Denmark, Sweden, Finland","https://www.linkedin.com/in/chjant","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Christina Sass","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Medical, Health Care, Social Network","Seed","Kenya, United States","https://www.linkedin.com/in/christina-sass-a23b2911","","","https://shizune.co/investors/enterprise-angel-investors-kenya","","","","",""
"Claire Diaz-Ortiz","Buenos Aires, Distrito Federal, Argentina","Argentina","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Finance","Seed, Pre-Seed, Funding Round","United States, Brazil, Mexico","http://www.linkedin.com/in/clairediazortiz","","","https://shizune.co/investors/angel-investors-algeria","","","http://www.clairediazortiz.com","","public_website"
"Clemens Paschke","Berlin, Berlin, Germany","Germany","Diaspora / outside Africa","exact_public","FinTech, Internet, Price Comparison","Seed","Nigeria","https://www.linkedin.com/in/clemens-paschke-04327a7b","","","https://shizune.co/investors/internet-angel-investors-nigeria","","","","",""
"Con O'Donnell","","","Unresolved","unresolved","Blockchain, Hardware, Software","Seed","Egypt","https://www.linkedin.com/in/conodonnell","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Conor Walsh","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Apps, Banking","Pre-Seed","Nigeria","https://www.linkedin.com/in/conor-walsh-120a6b10","","","https://shizune.co/investors/software-angel-investors-nigeria","","","","",""
"Cristina Santin","","","Unresolved","unresolved","FinTech, Insurance, Blockchain, Other, Payments, Software","Seed","Nigeria","https://www.linkedin.com/in/cristina-santin","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Dale Mathias","","","Unresolved","unresolved","FinTech, Finance, Internet, Financial, Payments, Software","Pre-Seed, Series A","Nigeria, The Netherlands","https://www.linkedin.com/in/dale-mathias-b7958026","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Damien Guermonprez","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","Internet, Financial Services, Payments, Software","Seed, Pre-Seed, Series A","France, India, Cameroon","https://www.linkedin.com/pub/damien-guermonprez/0/61/728","","","https://shizune.co/investors/angel-investors-cameroon","","","","",""
"Damola Adegboyega","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Finance, Health Care, Financial Services","Pre-Seed","Nigeria","https://www.linkedin.com/in/damola-adegboyega-42674430","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Daniel Curran","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Software, Internet","Seed, Series A, Series B","United States, Canada, Brazil","http://www.linkedin.com/in/dancurran","","","https://shizune.co/investors/angel-investors-algeria","","","","",""
"Daniel Guasco","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","Rental, Internet, Analytics","Seed, Angel","South Africa, United Kingdom","https://www.linkedin.com/in/danielguasco","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Dare Okoudjou","Johannesburg, South Africa, South Africa","South Africa","Africa-based","exact_public","FinTech, Insurance, Credit","Seed, Series A, Funding Round","Canada, Germany, Nigeria","https://www.linkedin.com/in/dokoudjou","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"Darshan Chandaria","Nairobi, Kenya","Kenya","Africa-based","inferred_public","Software, B2B, Marketplace","Seed, Pre-Seed","Kenya, United States","https://www.linkedin.com/in/darshan-chandaria-7143a57","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"David Buttress","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Mobile, Food Delivery, E-Commerce","Funding Round, Seed, Angel","United Kingdom, Egypt, Brazil","http://www.linkedin.com/in/buttress","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","http://davidbuttress.com","","public_website"
"David Chan","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Health Care, Medical, Women's","Seed, Series A, Funding Round","United States, Israel, Nigeria","https://www.linkedin.com/in/david-chan-76b1762","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"David de Picciotto","","","Unresolved","unresolved","FinTech, Financial Services, Finance","Seed, Pre-Seed, Series A","United States, Brazil, Mexico","https://www.linkedin.com/in/david-de-picciotto-71445092","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","","","",""
"Desigan Chinniah","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, Communities, Apps","Seed, Pre-Seed, Angel","United Kingdom, Nigeria, United States","https://www.linkedin.com/in/desiganchinniah","","","https://shizune.co/investors/payments-angel-investors-africa","","","https://about.me/cyberdees","","company_or_firm_site"
"Didier Valet","Paris, Ile-de-France, France · 3 investments in the past 12 months","France","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Software","Seed, Pre-Seed, Series A","France, Luxembourg, Israel","https://www.linkedin.com/in/didier-valet","","","https://shizune.co/investors/angel-investors-cameroon","","Xanthe Conseil","http://xantheconseil.com/","Official linked site metadata","company_or_firm_site"
"Dimitri Farber Garcia","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","Real Estate, Residential, Sharing Economy","Seed","France, Senegal","https://www.linkedin.com/in/dimitrifarber","","","https://shizune.co/investors/angel-investors-senegal","","","","",""
"Do Kwon","","","Unresolved","unresolved","Blockchain, Cryptocurrency, FinTech","Seed, Series A, Funding Round","United States, Singapore, United Kingdom","https://www.linkedin.com/in/do-kwon","","","https://shizune.co/investors/mobile-angel-investors-africa","","","","",""
"Dr Ritesh Malik","Delhi, Delhi, India · 2 investments in the past 12 months","India","Diaspora / outside Africa","exact_public","Software, SaaS, Information Technology, E-Commerce","Seed, Pre-Seed, Funding Round","India, United States, Kenya","https://www.linkedin.com/pub/dr-ritesh-malik/a/a87/877","","","https://shizune.co/investors/angel-investors-kenya","","","https://www.drriteshmalik.com/","","personal_site"
"Dr. Cornelius Boersch","Zürich, Zurich, Switzerland","Switzerland","Diaspora / outside Africa","exact_public","E-Commerce, Software, FinTech","Seed, Series A, Funding Round","Germany, Switzerland, Mexico","https://www.linkedin.com/in/connyboersch","","","https://shizune.co/investors/internet-angel-investors-nigeria","","","https://conny-boersch.com","","public_website"
"Ed Levinson","Vancouver, Alberta, Canada","Canada","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Finance","Seed","Canada, Uganda","https://www.linkedin.com/in/edlevinson","","","https://shizune.co/investors/angel-investors-uganda","","","","",""
"Ed Robinson","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","InsurTech, Insurance, Banking, Financial, Software, Education","Pre-Seed, Seed, Series B","Nigeria, United States","https://www.linkedin.com/in/ed-robinson-90431617","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Edmond Nonie","","","Unresolved","unresolved","SaaS, Software, Construction","Pre-Seed, Debt Financing","Nigeria","https://www.linkedin.com/in/edmondbnonie","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Eduardo Campos","São Paulo, Sao Paulo, Brazil","Brazil","Diaspora / outside Africa","exact_public","SaaS, Real Estate, Property Management","Seed","Brazil, United States, Nigeria","https://www.linkedin.com/in/eduardo-brennand-campos-81245051","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Edward Lando","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Health Care, Information Technology","Seed, Pre-Seed, Funding Round","United States, France, United Kingdom","https://www.linkedin.com/in/edwardlando","","","https://shizune.co/investors/angel-investors-algeria","","","https://www.edwardlando.com/","","personal_site"
"Edward Suh","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Mobile Apps, Financial Services, FinTech","Seed, Series A, Series B","United States, United Kingdom, Vietnam","https://www.linkedin.com/in/edsuh","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Eli Pollak","Nairobi, Nairobi Area, Kenya","Kenya","Africa-based","exact_public","FinTech, Communities, Financial Services","Seed, Pre-Seed","South Africa","https://www.linkedin.com/in/elipollak","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
